Category,City,Container,Customer ID,Customer Name,Customer Segment,Department,Item,Item ID,Order Date,Order ID,Order Priority,Postal Code,Region,Row ID,Ship Date,Ship Mode,State,Discount,Order Quantity,Product Base Margin,Profit,Sales,Shipping Cost,Unit Price
Copiers and Fax,Mishawaka,Large Box,1510,Gayle Lawson,Corporate,Technology,Canon PC1060 Personal Laser Copier,10566,9/7/2020,90308,Low,46544,Central,19573,9/12/2020,Regular Air,Indiana,0.02,5,0.41,-635,3567,24,700
Telephones and Communication,Mishawaka,Small Box,1510,Gayle Lawson,Corporate,Technology,LX 677,11075,9/7/2020,90308,Low,46544,Central,19574,9/11/2020,Regular Air,Indiana,0.04,13,0.57,458,1252,9,111
Binders and Binder Accessories,Midland,Small Box,2944,Elsie Lane,Corporate,Office Supplies,Presstex Flexible Ring Binders,11131,9/3/2017,90309,Low,48640,Central,19575,9/5/2017,Regular Air,Michigan,0.04,13,0.35,28,60,1,5
Binders and Binder Accessories,Southbury,Small Box,2215,Christopher High,Corporate,Office Supplies,Ibico Hi-Tech Manual Binding System,10507,7/18/2020,90319,Critical,6488,East,19576,7/19/2020,Regular Air,Connecticut,0.07,15,0.4,3024,4382,20,305
Paper,Janesville,Small Box,2450,Tonya Miller,Home Office,Office Supplies,Xerox 1895,10068,8/3/2020,90326,High,53545,Central,19577,8/4/2020,Regular Air,Wisconsin,0.03,8,0.4,-45,55,10,6
Pens & Art Supplies,Janesville,Wrap Bag,2450,Tonya Miller,Home Office,Office Supplies,Prang Colored Pencils,10738,8/3/2020,90326,High,53545,Central,19578,8/5/2020,Regular Air,Wisconsin,0.03,13,0.4,28,40,1,3
Storage & Organization,Corsicana,Small Box,2572,Shirley Meadows,Consumer,Office Supplies,"Tenex Personal Self-Stacking Standard File Box, Black/Gray",10856,6/20/2019,90331,Critical,75109,Central,19579,6/21/2019,Regular Air,Texas,0.1,12,0.58,-13,200,6,17
Telephones and Communication,Corsicana,Small Box,2572,Shirley Meadows,Consumer,Technology,CF 688,10520,6/20/2019,90331,Critical,75109,Central,19580,6/22/2019,Express Air,Texas,0.04,9,0.58,460,1162,9,156
Computer Peripherals,Hilton Head Island,Small Pack,1997,Harriet Bowman,Consumer,Technology,Maxell DVD-RAM Discs,10434,5/5/2017,90334,Medium,29915,South,19581,5/6/2017,Regular Air,South Carolina,0.01,7,0.42,740,123,2,16
Pens & Art Supplies,Roanoke,Wrap Bag,2544,Harvey Barefoot,Small Business,Office Supplies,"Quartet Alpha® White Chalk, 12/Pack",11066,11/22/2018,87918,Medium,24017,South,19582,11/23/2018,Regular Air,Virginia,0.08,23,0.38,-4,50,1,2
Binders and Binder Accessories,Springfield,Small Box,2545,Rick Ellis,Small Business,Office Supplies,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",10243,11/22/2018,87918,Medium,22153,South,19583,11/24/2018,Regular Air,Virginia,0.04,17,0.38,93,116,5,6
Envelopes,Bellevue,Small Box,385,Jose High,Small Business,Office Supplies,Tyvek® Side-Opening Peel & Seel® Expanding Envelopes,10191,1/19/2020,90346,Medium,68005,Central,19584,1/19/2020,Regular Air,Nebraska,0,4,0.4,268,389,20,90
Binders and Binder Accessories,Waldorf,Small Box,1602,Frank Hess,Home Office,Office Supplies,GBC Imprintable Covers,10624,3/1/2018,89681,Low,20601,East,19585,3/5/2018,Regular Air,Maryland,0.01,10,0.36,59,114,5,11
Tables,Waldorf,Jumbo Box,1602,Frank Hess,Home Office,Furniture,Bretford CR8500 Series Meeting Room Furniture,11069,3/1/2018,89681,Low,20601,East,19586,3/3/2018,Delivery Truck,Maryland,0.06,12,0.71,-969,4806,43,401
Paper,Tigard,Wrap Bag,1206,Dana Jain,Small Business,Office Supplies,"TOPS Money Receipt Book, Consecutively Numbered in Red,",11122,7/29/2020,89446,High,97224,West,19587,7/31/2020,Regular Air,Oregon,0.09,3,0.4,37,24,3,8
Telephones and Communication,Tigard,Small Box,1206,Dana Jain,Small Business,Technology,Talkabout T8097,10078,7/29/2020,89446,High,97224,West,19588,7/30/2020,Regular Air,Oregon,0.1,4,0.58,266,637,9,206
Office Furnishings,Stratford,Large Box,1088,Jeremy Orr,Corporate,Furniture,Deflect-o DuraMat Antistatic Studded Beveled Mat for Medium Pile Carpeting,10278,4/10/2018,90133,Low,6614,East,19589,4/17/2018,Regular Air,Connecticut,0.09,4,0.61,280,405,24,105
Labels,Austin,Small Box,561,Bruce Morton,Home Office,Office Supplies,Avery 487,10099,8/22/2018,86353,High,78745,Central,19590,8/24/2018,Regular Air,Texas,0.09,14,0.38,33,48,1,4
Computer Peripherals,Arlington,Small Pack,886,Betty Barbour,Home Office,Technology,"3.5"" IBM Formatted Diskettes, DS/HD",10231,8/15/2018,89542,Low,76017,Central,19591,8/24/2018,Regular Air,Texas,0.06,12,0.66,-42,76,4,7
Office Furnishings,Arlington,Small Box,886,Betty Barbour,Home Office,Furniture,Staples Plastic Wall Frames,10568,8/15/2018,89542,Low,76017,Central,19592,8/17/2018,Express Air,Texas,0.03,17,0.41,551,799,7,48
Pens & Art Supplies,Wilkinsburg,Wrap Bag,1023,Glen Newman,Small Business,Office Supplies,"Staples Pen Style Liquid Stix; Assorted (yellow, pink, green, blue, orange), 5/Pack",10774,10/18/2019,88638,Critical,15221,East,19593,10/20/2019,Regular Air,Pennsylvania,0.01,8,0.4,35,56,1,6
Tables,Irving,Jumbo Box,482,Marion Stephenson,Corporate,Furniture,Bevis Round Conference Table Top & Single Column Base,10265,7/2/2019,90356,High,75061,Central,19594,7/3/2019,Delivery Truck,Texas,0,2,0.65,-144,322,44,146
Office Furnishings,Oxford,Small Pack,351,Juanita Coley Knox,Home Office,Furniture,"GE 48"" Fluorescent Tube, Cool White Energy Saver, 34 Watts, 30/Box",11232,6/30/2017,88686,Medium,1540,East,19595,7/2/2017,Regular Air,Massachusetts,0.04,14,0.35,994,1440,9,99
Storage & Organization,Bettendorf,Small Box,1826,Kate Peck,Corporate,Office Supplies,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",10020,4/16/2017,86958,Medium,52722,Central,19596,4/17/2017,Express Air,Iowa,0.1,7,0.81,-517,338,20,53
Bookcases,Burlington,Jumbo Box,1827,Vincent Hale,Corporate,Furniture,"Bush Westfield Collection Bookcases, Dark Cherry Finish, Fully Assembled",10125,4/16/2017,86958,Medium,52601,Central,19597,4/19/2017,Delivery Truck,Iowa,0.07,2,0.78,-430,215,57,101
Telephones and Communication,Burlington,Wrap Bag,1827,Vincent Hale,Corporate,Technology,Accessory34,10560,4/16/2017,86958,Medium,52601,Central,19598,4/18/2017,Regular Air,Iowa,0.03,5,0.55,264,383,1,86
Telephones and Communication,Oak Creek,Small Pack,2976,Fred Barber,Small Business,Technology,Accessory31,10366,11/20/2017,89047,Medium,53154,Central,19599,11/21/2017,Regular Air,Wisconsin,0.01,41,0.35,882,1279,1,36
Computer Peripherals,Lewiston,Small Box,727,Lindsay Link,Consumer,Technology,"Belkin 107-key enhanced keyboard, USB/PS/2 interface",11197,3/13/2017,90359,Medium,4240,East,19600,3/14/2017,Regular Air,Maine,0.1,4,0.79,-100,66,4,18
Telephones and Communication,Stratford,Small Box,724,Beverly Cooke Brooks,Consumer,Technology,SC7868i,10053,3/13/2017,90359,Medium,6614,East,19601,3/14/2017,Regular Air,Connecticut,0.09,1,0.55,-605,100,9,126
Computer Peripherals,Murray,Small Pack,499,Anne Coates,Corporate,Technology,Imation DVD-RAM discs,10898,4/7/2019,90368,Low,84107,West,19602,4/14/2019,Regular Air,Utah,0.1,1,0.43,-91,33,2,35
Storage & Organization,Murray,Small Box,499,Anne Coates,Corporate,Office Supplies,Rogers® Profile Extra Capacity Storage Tub,11157,4/7/2019,90368,Low,84107,West,19603,4/7/2019,Regular Air,Utah,0,9,0.81,-143,156,7,17
Computer Peripherals,Dumont,Small Pack,3335,Christopher Berman,Home Office,Technology,"Imation 3.5 IBM Formatted Diskettes, 10/Box",11218,9/21/2020,90377,Not Specified,7628,East,19604,9/22/2020,Regular Air,New Jersey,0.08,16,0.74,-42,130,2,8
Pens & Art Supplies,Dundalk,Small Pack,3333,Marc Simon,Home Office,Office Supplies,Sanford 52201 APSCO Electric Pencil Sharpener,11163,9/21/2020,90377,Not Specified,21222,East,19605,9/23/2020,Regular Air,Maryland,0.06,14,0.59,158,587,9,41
Pens & Art Supplies,Walla Walla,Wrap Bag,1230,Joan Hardin,Small Business,Office Supplies,Newell 329,10051,2/20/2019,90380,Medium,99362,West,19606,2/22/2019,Express Air,Washington,0.07,5,0.59,4,17,1,3
Computer Peripherals,La Crosse,Small Box,2554,Harvey Sanchez,Home Office,Technology,PC Concepts 116 Key Quantum 3000 Keyboard,10801,11/8/2019,86532,Not Specified,54601,Central,19607,11/9/2019,Regular Air,Wisconsin,0.07,30,0.75,7,989,6,33
Paper,La Crosse,Small Box,2554,Harvey Sanchez,Home Office,Office Supplies,Xerox 1895,10068,11/8/2019,86532,Not Specified,54601,Central,19608,11/9/2019,Regular Air,Wisconsin,0.09,31,0.4,50,188,10,6
Telephones and Communication,La Crosse,Small Box,2554,Harvey Sanchez,Home Office,Technology,Talkabout T8367,10878,11/8/2019,86532,Not Specified,54601,Central,19609,11/10/2019,Regular Air,Wisconsin,0.05,1,0.56,42,61,9,66
Paper,Madison,Wrap Bag,2555,Karl Knowles,Home Office,Office Supplies,Array® Memo Cubes,10610,11/8/2019,86532,Not Specified,53711,Central,19610,11/10/2019,Regular Air,Wisconsin,0.1,21,0.36,31,103,2,5
Telephones and Communication,Oxford,Small Box,91,Wallace Werner,Corporate,Technology,Item 10604,10604,9/2/2017,87177,Medium,1540,East,19611,9/4/2017,Regular Air,Massachusetts,0.06,23,0.57,2032,3364,9,176
Computer Peripherals,Oxford,Small Box,451,Joyce Murray,Home Office,Technology,Belkin 105-Key Black Keyboard,10752,7/2/2018,86016,Low,1540,East,19612,7/9/2018,Regular Air,Massachusetts,0.09,2,0.68,-66,41,4,20
Telephones and Communication,East Meadow,Small Box,1312,Arlene Weber,Corporate,Technology,i1000,10203,2/5/2020,88956,Not Specified,11554,East,19613,2/5/2020,Regular Air,New York,0.03,7,0.58,285,413,6,66
Chairs & Chairmats,Lancaster,Large Box,1620,Gerald Petty,Consumer,Furniture,Hon Olson Stacker Stools,10357,7/24/2020,90255,High,17602,East,19614,7/26/2020,Regular Air,Pennsylvania,0,3,0.57,59,440,24,141
Telephones and Communication,Eau Claire,Small Box,2281,Monica Harvey,Home Office,Technology,V70,10261,1/25/2017,85948,Not Specified,54703,Central,19615,1/26/2017,Regular Air,Wisconsin,0.08,10,0.59,997,1611,3,206
Paper,Hampton,Wrap Bag,968,Yvonne D McLeod,Home Office,Office Supplies,"Post-it® “Important Message” Note Pad, Neon Colors, 50 Sheets/Pad",11035,12/23/2019,86178,High,3842,East,19616,12/23/2019,Regular Air,New Hampshire,0.04,13,0.37,65,94,2,7
Pens & Art Supplies,Rock Springs,Wrap Bag,2495,Maria Block,Consumer,Office Supplies,Newell 336,10799,4/24/2017,86885,Low,82901,West,19617,4/26/2017,Regular Air,Wyoming,0.06,2,0.56,0,9,1,4
Office Machines,Oxford,Jumbo Box,3151,Glenda Hunter,Corporate,Technology,Okidata Pacemark 4410N Wide Format Dot Matrix Printer,10316,8/2/2017,88544,Critical,1540,East,19618,8/3/2017,Delivery Truck,Massachusetts,0.01,1,0.57,-4076,3502,9,3502
"Scissors, Rulers and Trimmers",Oxford,Small Pack,3151,Glenda Hunter,Corporate,Office Supplies,Acme Galleria® Hot Forged Steel Scissors with Colored Handles,10297,8/2/2017,88544,Critical,1540,East,19619,8/3/2017,Regular Air,Massachusetts,0.06,4,0.56,-19,63,7,16
Office Machines,North Little Rock,Jumbo Drum,1917,Tracy Buckley,Home Office,Technology,Epson Stylus 1520 Color Inkjet Printer,11016,2/3/2019,85902,Not Specified,72113,South,19620,2/4/2019,Delivery Truck,Arkansas,0.06,1,0.37,626,522,69,501
Pens & Art Supplies,North Little Rock,Small Pack,1917,Tracy Buckley,Home Office,Office Supplies,Boston 1730 StandUp Electric Pencil Sharpener,11025,2/3/2019,85902,Not Specified,72113,South,19621,2/3/2019,Regular Air,Arkansas,0.09,8,0.59,-2519,164,9,21
Telephones and Communication,North Little Rock,Medium Box,1917,Tracy Buckley,Home Office,Technology,SouthWestern Bell FA970 Digital Answering Machine with Time/Day Stamp,10957,2/3/2019,85902,Not Specified,72113,South,19622,2/3/2019,Regular Air,Arkansas,0.01,5,0.56,8,129,9,29
Computer Peripherals,Taylor,Small Box,2155,Raymond Clark,Home Office,Technology,Keytronic Designer 104- Key Black Keyboard,10229,7/16/2020,90402,High,48180,Central,19623,7/17/2020,Regular Air,Michigan,0.06,6,0.77,-315,242,20,40
Office Machines,Dover,Small Box,956,Tom Wiley,Consumer,Technology,AT&T 2230 Dual Handset Phone With Caller ID/Call Waiting,10894,2/23/2018,88000,Medium,19901,East,19624,2/23/2018,Regular Air,Delaware,0.08,1,0.52,-262,105,20,100
Tables,Oxford,Jumbo Box,3151,Glenda Hunter,Corporate,Furniture,Bevis Rectangular Conference Tables,10658,6/1/2017,88543,Not Specified,1540,East,19625,6/1/2017,Delivery Truck,Massachusetts,0.01,9,0.69,-135,1371,46,146
Rubber Bands,Newton,Wrap Bag,672,Brian Leach,Small Business,Office Supplies,Bagged Rubber Bands,10372,2/22/2020,88181,Low,50208,Central,19626,2/22/2020,Express Air,Iowa,0.04,10,0.81,-14,14,1,1
Storage & Organization,Biloxi,Small Box,1551,Laurence Flowers,Consumer,Office Supplies,Portfile® Personal File Boxes,10309,12/23/2017,87488,Low,39530,South,19627,1/1/2018,Regular Air,Mississippi,0.07,18,0.59,-244,301,9,18
Paper,Ewing,Wrap Bag,108,Fred Sharma,Consumer,Office Supplies,"Adams Phone Message Book, 200 Message Capacity, 8 1/16” x 11”",10666,6/27/2018,88208,Not Specified,8618,East,19628,6/29/2018,Regular Air,New Jersey,0.04,17,0.39,81,118,2,7
Computer Peripherals,Woodbridge,Small Box,112,Louis Adkins,Consumer,Technology,Micro Innovations 104 Keyboard,10463,6/27/2018,88208,Not Specified,7095,East,19629,6/28/2018,Regular Air,New Jersey,0.09,16,0.64,-138,169,7,11
Paper,Oxford,Small Box,3241,Terri Link,Small Business,Office Supplies,Southworth Structures Collection™,10983,9/19/2018,88332,Critical,1540,East,19630,9/20/2018,Regular Air,Massachusetts,0.08,3,0.35,-16,23,5,7
Paper,Dubuque,Small Box,2151,Melinda Rogers,Corporate,Office Supplies,Hammermill CopyPlus Copy Paper (20Lb. and 84 Bright),10074,7/25/2020,90407,Low,52001,Central,19631,7/30/2020,Regular Air,Iowa,0.02,16,0.36,-58,86,5,5
Telephones and Communication,Dubuque,Medium Box,2151,Melinda Rogers,Corporate,Technology,"Panasonic All Digital Answering System with Caller ID*, KX-TM150B",10364,7/25/2020,90407,Low,52001,Central,19632,8/1/2020,Regular Air,Iowa,0.07,9,0.6,16,514,14,67
Tables,Southbury,Jumbo Box,3295,Suzanne Zhu,Corporate,Furniture,"Iceberg OfficeWorks 42"" Round Tables",10951,7/28/2020,86213,Not Specified,6488,East,19633,7/29/2020,Delivery Truck,Connecticut,0.06,1,0.75,27,148,39,151
"Scissors, Rulers and Trimmers",Panama City,Small Pack,2368,Ellen Blair,Consumer,Office Supplies,Acme Galleria® Hot Forged Steel Scissors with Colored Handles,10297,9/10/2019,90413,Low,32404,South,19634,9/12/2019,Regular Air,Florida,0.08,11,0.56,203,176,7,16
Envelopes,Pullman,Small Box,3393,Irene Murphy,Consumer,Office Supplies,Ampad #10 Peel & Seel® Holiday Envelopes,10204,8/12/2017,87909,Critical,99163,West,19635,8/13/2017,Regular Air,Washington,0.08,19,0.37,-3,80,3,4
Paper,Harlingen,Small Box,2273,Debra Block,Corporate,Office Supplies,Xerox 1940,10580,4/18/2018,90112,Medium,78550,Central,19636,4/20/2018,Regular Air,Texas,0.1,11,0.36,404,585,11,55
Pens & Art Supplies,Harlingen,Small Pack,2273,Debra Block,Corporate,Office Supplies,Staples SlimLine Pencil Sharpener,11152,4/18/2018,90112,Medium,78550,Central,19637,4/18/2018,Regular Air,Texas,0.07,12,0.6,-88,139,6,12
Office Machines,Oro Valley,Jumbo Box,744,Joy Maxwell,Consumer,Technology,Hewlett-Packard 2600DN Business Color Inkjet Printer,11170,7/15/2017,87726,Medium,85737,West,19638,7/17/2017,Delivery Truck,Arizona,0.03,13,0.39,190,1546,56,120
Computer Peripherals,Bozeman,Small Pack,745,Mary Page,Consumer,Technology,"Verbatim DVD-R, 4.7GB, Spindle, WE, Blank, Ink Jet/Thermal, 20/Spindle",10181,7/15/2017,87726,Medium,59715,West,19639,7/17/2017,Regular Air,Montana,0.05,3,0.49,68,353,2,116
Computer Peripherals,Billings,Small Box,1948,Angela Alston,Corporate,Technology,Adesso Programmable 142-Key Keyboard,11182,4/18/2018,90416,Low,59102,West,19640,4/22/2018,Regular Air,Montana,0.03,12,0.79,611,1793,4,152
Storage & Organization,Billings,Small Box,1948,Angela Alston,Corporate,Office Supplies,2300 Heavy-Duty Transfer File Systems by Perma,10855,4/18/2018,90416,Low,59102,West,19641,4/25/2018,Express Air,Montana,0.01,7,0.66,-50,177,9,25
Computer Peripherals,Southbury,Small Box,3295,Suzanne Zhu,Corporate,Technology,"Fellowes Internet Keyboard, Platinum",10397,9/6/2020,86214,Medium,6488,East,19642,9/8/2020,Regular Air,Connecticut,0,1,0.74,-76,40,9,30
Envelopes,Southbury,Small Box,3295,Suzanne Zhu,Corporate,Office Supplies,"Blue String-Tie & Button Interoffice Envelopes, 10 x 13",10655,9/6/2020,86214,Medium,6488,East,19643,9/6/2020,Regular Air,Connecticut,0.07,11,0.4,194,427,10,40
Storage & Organization,Mount Pleasant,Medium Box,2994,Erik Moon,Small Business,Office Supplies,Eldon Simplefile® Box Office®,10730,8/17/2020,88920,Medium,48858,Central,19644,8/18/2020,Regular Air,Michigan,0,10,0.57,-15,128,6,12
Office Furnishings,Enid,Medium Box,1748,Helen Simpson,Home Office,Furniture,"Tenex Contemporary Contur Chairmats for Low and Medium Pile Carpet, Computer, 39"" x 49""",10471,7/1/2019,87251,High,73703,Central,19645,7/4/2019,Regular Air,Oklahoma,0.02,16,0.65,1187,1720,6,108
Binders and Binder Accessories,Dover,Small Box,956,Tom Wiley,Consumer,Office Supplies,"Avery Trapezoid Extra Heavy Duty 4"" Binders",10965,5/21/2018,88001,Not Specified,19901,East,19646,5/22/2018,Regular Air,Delaware,0.03,7,0.35,202,293,3,42
Paper,Dover,Wrap Bag,956,Tom Wiley,Consumer,Office Supplies,"While You Were Out Pads, 50 per Pad, 4 x 5 1/4, Green Cycle",10131,5/21/2018,88001,Not Specified,19901,East,19647,5/23/2018,Regular Air,Delaware,0.09,11,0.36,34,51,2,5
Labels,Mesquite,Small Box,1660,Keith Liu Duncan,Small Business,Office Supplies,Avery 48,10622,2/22/2018,90127,Not Specified,75150,Central,19648,2/23/2018,Regular Air,Texas,0.1,5,0.39,20,28,1,6
Paper,Mesquite,Small Box,1660,Keith Liu Duncan,Small Business,Office Supplies,Xerox 214,10911,2/22/2018,90127,Not Specified,75150,Central,19649,2/23/2018,Regular Air,Texas,0.08,4,0.37,-53,27,7,6
Office Machines,Taylor,Jumbo Drum,2155,Raymond Clark,Home Office,Technology,Hewlett-Packard Deskjet 3820 Color Inkjet Printer,11207,8/21/2018,90389,Low,48180,Central,19650,8/21/2018,Delivery Truck,Michigan,0.03,20,0.37,1450,2102,14,101
Chairs & Chairmats,Russellville,Jumbo Drum,2121,Glenda Bowles,Corporate,Furniture,Hon 2090 “Pillow Soft” Series Mid Back Swivel/Tilt Chairs,10943,5/23/2018,89667,Not Specified,72801,South,19651,5/25/2018,Delivery Truck,Arkansas,0.09,2,0.78,547,555,57,281
Telephones and Communication,Kirkland,Wrap Bag,3063,Ann Steele,Consumer,Technology,Accessory25,11021,11/22/2017,88449,Not Specified,98034,West,19652,11/24/2017,Regular Air,Washington,0.03,9,0.57,4,159,1,21
Binders and Binder Accessories,Tacoma,Small Box,691,Alicia Curtis,Home Office,Office Supplies,Avery Reinforcements for Hole-Punch Pages,10404,6/13/2019,89918,High,98408,West,19653,6/15/2019,Regular Air,Washington,0.01,9,0.4,-62,21,5,2
Binders and Binder Accessories,Santa Rosa,Small Box,1136,Carmen McPherson,Consumer,Office Supplies,"GBC Twin Loop™ Wire Binding Elements, 9/16"" Spine, Black",10660,11/8/2018,87941,Critical,95404,West,19654,11/10/2018,Regular Air,California,0,21,0.36,3,334,10,15
Storage & Organization,Stratford,Small Box,1568,Jeanette Boswell,Corporate,Office Supplies,Hanging Personal Folder File,11258,6/22/2018,90230,Critical,6614,East,19655,6/23/2018,Regular Air,Connecticut,0.08,2,0.6,-33,37,11,16
Tables,Stratford,Jumbo Box,1568,Jeanette Boswell,Corporate,Furniture,"Bevis Round Conference Table Top, X-Base",10550,6/22/2018,90230,Critical,6614,East,19656,6/23/2018,Delivery Truck,Connecticut,0.05,10,0.74,134,1800,29,179
Binders and Binder Accessories,Kirkland,Small Box,3063,Ann Steele,Consumer,Office Supplies,"Acco Recycled 2"" Capacity Laser Printer Hanging Data Binders",10578,4/5/2018,88450,Low,98034,West,19657,4/12/2018,Regular Air,Washington,0.09,12,0.38,7,161,7,14
Chairs & Chairmats,Kirkland,Jumbo Drum,3063,Ann Steele,Consumer,Furniture,Novimex Turbo Task Chair,10501,4/5/2018,88450,Low,98034,West,19658,4/7/2018,Delivery Truck,Washington,0.08,5,0.73,-426,334,30,71
Pens & Art Supplies,New York City,Wrap Bag,696,Johnny Reid,Corporate,Office Supplies,Avery Hi-Liter® Fluorescent Desk Style Markers,10349,3/14/2019,89852,Low,10024,East,19659,3/14/2019,Regular Air,New York,0.04,9,0.48,22,32,1,3
Storage & Organization,Auburn,Large Box,1537,Paul Cowan,Consumer,Office Supplies,"Carina Mini System Audio Rack, Model AR050B",10551,1/17/2020,90426,Not Specified,13021,East,19660,1/18/2020,Regular Air,New York,0.08,4,0.82,-686,421,35,111
Tables,Auburn,Jumbo Box,1537,Paul Cowan,Consumer,Furniture,Bush Advantage Collection® Round Conference Table,10964,1/17/2020,90426,Not Specified,13021,East,19661,1/19/2020,Delivery Truck,New York,0.03,2,0.73,-584,369,110,213
Tables,Auburn,Jumbo Drum,1537,Paul Cowan,Consumer,Furniture,"SAFCO PlanMaster Heigh-Adjustable Drafting Table Base, 43w x 30d x 30-37h, Black",11224,1/17/2020,90426,Not Specified,13021,East,19662,1/19/2020,Delivery Truck,New York,0.1,12,0,2259,3275,60,349
Office Machines,Layton,Jumbo Drum,193,Danny Hong,Corporate,Technology,Panasonic KX-P2130 Dot Matrix Printer,10680,1/1/2017,90430,Not Specified,84041,West,19663,1/3/2017,Delivery Truck,Utah,0,1,0.59,-561,224,15,213
Binders and Binder Accessories,Scranton,Small Box,2249,Priscilla Allred,Home Office,Office Supplies,Wilson Jones Impact Binders,10653,4/11/2019,86704,Critical,18504,East,19664,4/13/2019,Regular Air,Pennsylvania,0.08,12,0.36,-146,59,6,5
Storage & Organization,Boston,Small Box,967,Brandon C Yates,Home Office,Office Supplies,Deluxe Rollaway Locking File with Drawer,10091,6/21/2020,86179,Not Specified,2108,East,19665,6/23/2020,Regular Air,Massachusetts,0.04,2,0.57,-132,830,11,416
Labels,Calexico,Small Box,3354,Sara Faulkner,Corporate,Office Supplies,Avery 487,10099,9/25/2017,88590,Not Specified,92231,West,19666,9/27/2017,Regular Air,California,0.04,19,0.38,48,69,1,4
Paper,Oakton,Wrap Bag,2417,Ken H Frazier,Consumer,Office Supplies,"Wirebound Message Books, Four 2 3/4"" x 5"" Forms per Page, 600 Sets per Book",10539,6/28/2019,86760,Low,22124,South,19667,7/3/2019,Regular Air,Virginia,0.04,6,0.38,177,58,4,9
Telephones and Communication,Pomona,Small Box,576,Gordon Lyon,Corporate,Technology,TimeportP7382,11199,6/14/2018,88649,High,91767,West,19668,6/16/2018,Regular Air,California,0.1,5,0.56,-208,788,9,206
Telephones and Communication,Oxford,Small Box,1041,Mildred Chase,Small Business,Technology,Item 10671,10671,2/4/2019,87849,Medium,1540,East,19669,2/5/2019,Regular Air,Massachusetts,0.1,8,0.59,721,1316,8,201
Binders and Binder Accessories,Gallatin,Small Box,3224,Claudia White,Small Business,Office Supplies,Binder Posts,10919,2/2/2018,86510,Critical,37066,South,19670,2/2/2018,Regular Air,Tennessee,0,11,0.39,111,66,5,6
Office Furnishings,Gallatin,Small Pack,3224,Claudia White,Small Business,Furniture,"DAX Charcoal/Nickel-Tone Document Frame, 5 x 7",10046,2/2/2018,86510,Critical,37066,South,19671,2/3/2018,Regular Air,Tennessee,0.05,2,0.4,50,20,4,9
Office Furnishings,Gallatin,Small Pack,3224,Claudia White,Small Business,Furniture,"GE 48"" Fluorescent Tube, Cool White Energy Saver, 34 Watts, 30/Box",11232,2/2/2018,86510,Critical,37066,South,19672,2/3/2018,Regular Air,Tennessee,0.04,3,0.35,103,303,9,99
Paper,Gallatin,Wrap Bag,3224,Claudia White,Small Business,Office Supplies,"Rediform Wirebound ""Phone Memo"" Message Book, 11 x 5-3/4",10994,2/2/2018,86510,Critical,37066,South,19673,2/3/2018,Regular Air,Tennessee,0.01,2,0.36,11,17,6,8
Telephones and Communication,Gallatin,Small Box,3224,Claudia White,Small Business,Technology,iDEN i95,10626,2/2/2018,86510,Critical,37066,South,19674,2/3/2018,Regular Air,Tennessee,0.08,2,0.59,-89,116,20,66
Telephones and Communication,Austin,Small Box,2341,Wanda Stafford,Home Office,Technology,Item 10671,10671,9/16/2020,88996,Medium,78745,Central,19675,9/16/2020,Regular Air,Texas,0.02,24,0.59,2519,4179,8,201
Office Furnishings,Irving,Large Box,2342,Danny Francis Bell,Home Office,Furniture,Electrix Halogen Magnifier Lamp,10198,9/16/2020,88996,Medium,75061,Central,19676,9/18/2020,Regular Air,Texas,0.01,12,0.59,1688,2447,12,194
Paper,Saint Petersburg,Small Box,3154,Faye Manning,Consumer,Office Supplies,Xerox 1897,11014,11/7/2018,86904,Critical,33710,South,19677,11/9/2018,Regular Air,Florida,0.06,8,0.36,395,44,6,5
Telephones and Communication,Saint Petersburg,Wrap Bag,3154,Faye Manning,Consumer,Technology,Accessory4,11051,11/7/2018,86904,Critical,33710,South,19678,11/7/2018,Express Air,Florida,0,21,0.85,821,1538,1,86
Labels,Prescott,Small Box,753,Elisabeth Massey,Corporate,Office Supplies,Avery 479,11200,9/9/2017,90438,Critical,86301,West,19679,9/9/2017,Express Air,Arizona,0.06,1,0.39,11,18,1,3
Paper,Prescott,Wrap Bag,753,Elisabeth Massey,Corporate,Office Supplies,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",10079,9/9/2017,90438,Critical,86301,West,19680,9/11/2017,Regular Air,Arizona,0.01,22,0.39,98,142,1,6
Chairs & Chairmats,Ann Arbor,Jumbo Drum,1404,Clara Bullock,Corporate,Furniture,"Global High-Back Leather Tilter, Burgundy",11166,12/22/2020,86152,Medium,48104,Central,19681,12/25/2020,Delivery Truck,Michigan,0,18,0.74,-402,2426,70,123
Office Furnishings,Wylie,Wrap Bag,1408,Ron Bullock,Consumer,Furniture,Flat Face Poster Frame,10901,12/7/2019,90446,Not Specified,75098,Central,19682,12/10/2019,Regular Air,Texas,0.04,19,0.43,243,352,4,19
Telephones and Communication,Wylie,Wrap Bag,1408,Ron Bullock,Consumer,Technology,Accessory41,10681,12/7/2019,90446,Not Specified,75098,Central,19683,12/10/2019,Regular Air,Texas,0.05,21,0.38,440,637,6,36
